Track Name,Artist,Album,Genre,Popularity
Yenno Yenno,"Karthik, Chinmayi",Malli Malli Idi Rani Roju,filmi,50
Ekkada Ekkada,"S.P. Charan, Harini",Murari,"classic kollywood, filmi",57
Dhinaku Dhin Jiya,"Shankar Mahadevan, Shreya Ghoshal",Mirapakay,filmi,46
Nee Kannu Neeli Samudram - Telugu,"Javed Ali, Devi Sri Prasad",Uppena,"desi pop, filmi, modern bollywood",57
Dole Dole,"Ranjith Govind, Suchitra",Pokiri,"filmi, tamil pop",54
Singilu Singilu,"Rahul Sipligunj, M.M.Manasi, Roll Rida",90ML,tollywood,36
Andhanikey,Shankar Mahadevan,Murari,filmi,46
Top Lesi Poddi,"Sagar, Geetha Madhuri",Idharammayilatho,tollywood,57
"Atana Aaku Techinne Pilla O Ganga DJ, Pt. 2","Jogula Venkatesh, singer lavanya","Atana Aaku Techinne Pilla O Ganga DJ, Pt. 2",telugu folk,26
Aa Ante,"Malathi, Ranjith Govind",Aarya,tollywood,53
Andhamyna Bhamalu,Devi Sri Prasad,Manmadhudu,tollywood,60
Prema Swaramulalo,"Hriday Gattani, Chinmayi",24 (Original Motion Picture Soundtrack),hindi indie,47
Bulle,"G. V. Prakash, Mallikarjun, Priya Hemesh",Darling (Original Motion Picture Soundtrack),"kollywood, tamil pop",39
Aanandam Madike,"Mahati Swara Sagar, Sid Sriram",Ishq - Not A Love Story,tollywood,41
Dhammu,"M. M. Keeravaani, Rahul Sipligunj, Sravana Bhargavi, Shivani",Dhammu (Original Motion Picture Soundtrack),vintage tollywood,37
Nee Kannulu,Rahul Sipligunj,Savaari,tollywood,44
Cheppamma,K. S. Chithra,Murari,filmi,52
Priyathama,"Sekhar Chandhra, Sid Sriram",Kotha Kothaga,tollywood,52
I Just Love You Baby,"Lipsika Bhashyam, L. V. Revanth",Prema Katha Chithram,telugu indie,45
"Hey Idi Nenena (From ""Solo Brathuke So Better"")","Thaman S, Sid Sriram","Hey Idi Nenena (From ""Solo Brathuke So Better"")","new beat, tamil pop",53
"Aradhya (From ""Kushi"") (Telugu)","Hesham Abdul Wahab, Chinmayi","Aradhya (From ""Kushi"") (Telugu)",mollywood,61
"Excuse Me Rakshasi - From ""Ninu Veedani Needanu Nene""","Thaman S, Siddharth","Excuse Me Rakshasi (From ""Ninu Veedani Needanu Nene"")","new beat, tamil pop",49
"Aa Rojulu Malli Raavu (From ""Committee Kurrollu"")","Karthik, Anudeep Dev, Krishna Kanth","Aa Rojulu Malli Raavu (From ""Committee Kurrollu"")",filmi,56
Meghaalu Lekunna,Yazin Nizar,Kumari 21 F,tollywood,59
Chamka Chamka,"Ranjith Govind, Geetha Madhuri",Chirutha,"filmi, tamil pop",55
Aakasam,"Sumangaly, Kid Sathya",Kalusukovalani,tollywood,44
Manasuna Edho Raagam,"Harris Jayaraj, Chinmayi",Yentha Vaadu Gaanie (Original Motion Picture Soundtrack),filmi,41
"Thaagudhaam Thaagi Ugudhaam (From ""Bootcut Balaraju"")","Bheems Ceciroleo, Rahul Sipligunj","Thaagudhaam Thaagi Ugudhaam (From ""Bootcut Balaraju"")",tollywood,28
"Arerey Manasa (From ""Falaknuma Das"")",Sid Sriram,"Arerey Manasa (From ""Falaknuma Das"")",filmi,54
Pillaa Raa,Anurag Kulkarni,RX 100,tollywood,65
Dhooram Dhooram,Tippu,100% Love,filmi,51
Hulala,"Sweekar Agasthi, Silvia Anisha",Express Raja,tollywood,48
只想把你偷偷藏好(《偷偷藏不住》电视剧主题曲/片头曲),"Silence Wang, 赵露思",只想把你偷偷藏好(《偷偷藏不住》电视剧主题曲/片头曲),"chinese singer-songwriter, mainland chinese pop",56
Ek Niranjan,Ranjith Govind,Ek Niranjan,"filmi, tamil pop",48
Naluguriki,Shankar Mahadevan,Takkari Donga,filmi,44
Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess",The Truth About Love,"dance pop, pop",83
Jaru Jaru Bandalakada,"Jogula Venkatesh, singer lavanya, BiggBoss Priyanka Singh",Jaru Jaru Bandalakada,telugu folk,29
Karige Loga,"Devi Sri Prasad, Kunal Ganjawala, Megha",Aarya - 2 (Original Motion Picture Soundtrack),tollywood,57
Super Machi,"Devi Sri Prasad, Sravana Bhargavi, Magizhini Manimaran",Son Of Satyamurthy,tollywood,53
Set Fire to the Rain,Adele,21,"british soul, pop, pop soul, uk pop",81
"Naa Madhi (From ""Thiru"")","Dhanunjay Seepana, Srinivasa Mouli, Anirudh Ravichander","Naa Madhi (From ""Thiru"")",tollywood,58
Apudo Ipudo,Siddharth,Bommarillu,tollywood,62
Kani Penchina Ma Ammake,Bharath,Manam,Unknown,41
Ayudha Pooja [TELUGU],"Kala Bhairava, Anirudh Ravichander, Ramajogayya Sastry",Devara Part 1 [TELUGU],tollywood,72
"Adangaatha Asuran (From ""Raayan"")","A.R. Rahman, Dhanush","Adangaatha Asuran (From ""Raayan"")",filmi,62
"Hoyna Hoyna (From ""Gang Leader"")","Anirudh Ravichander, Inno Genga","Hoyna Hoyna (From ""Gang Leader"")","desi hip hop, filmi, tamil hip hop",57
Forever Star(《偷偷藏不住》电视剧插曲),張洢豪,《偷偷藏不住》影视原声专辑,chinese r&b,59
我有喜欢的人了(《偷偷藏不住》电视剧片尾曲),赵露思,《偷偷藏不住》影视原声专辑,chinese drama ost,54
Emone,"Vijai Bulganin, Aditi Bhavaraju",Emone,tollywood,47
Vellake,"Bharatt-Saurabh, Yazin Nizar, Anirudh Ravichander",Vellake,Unknown,64
Nindu Punammi Vela,"Suman Badanakal, Srinidhi Nerella",Nindu Punammi Vela,telugu folk,52
Bangaru Kalla,Udit Narayan,Murari,"chutney, filmi, odia pop",53
Emannavoo,"Anirudh Ravichander, Shweta Mohan",Nava Manmadhudu (Original Motion Picture Soundtrack),"desi hip hop, filmi, tamil hip hop",58
Silakemo,"Sreeram, Malathi",Venky,Unknown,55
"Dimaak Kharaab - From ""Ismart Shankar""","Saketh Komanduri, Keerthana Sharma",Ismart Shankar (Original Motion Picture Soundtrack),tollywood,46
Undiporaadhey,Sid Sriram,Hushaaru,filmi,59
Telusaa Telusaa,"Jubin Nautiyal, Sameera Bharadwaj",Sarrainodu,"filmi, hare krishna, modern bollywood",56
耳喃,PIggy,耳喃,chinese melodic rap,47
Kaadhal Kurise,"Manish Kumar, Vyshu Maya, Mehaboob Dilse",Kaadhal Kurise,Unknown,39
Yemaiundacho,Vijai Bulganin,Yemaiundacho,tollywood,48
Pulsar Bike,"Bheems Ceciroleo, Janakirao Ramana",Dhamaka (Original Motion Picture Soundtrack),tollywood,62
"Ammaadi (From ""Hi Nanna"")","Shakthisree Gopalan, Kala Bhairava, Hesham Abdul Wahab","Ammaadi (From ""Hi Nanna"")","filmi, modern bollywood, tamil pop",50
O Rendu Prema Meghaalila (First Love Song),"Vijai Bulganin, Sreerama Chandra",Baby (Original Motion Picture Soundtrack),tollywood,51
Malupu,Manish Kumar,Malupu,Unknown,42
Saradaga Kasepaina,"Radhan, Karthik, Purnima",Paagal,tamil pop,42
Ayyayyo Female Version (From Mem Famous),Mohana Bhogaraju,"Ayyayyo Female Version (From ""Mem Famous"")","telugu indie, tollywood",35
Hello Doctor,"A.R. Rahman, KK, Srinivas, Noel James, Bhuvana Chandra, Anupama",Prema Desam,filmi,38
Naa Peru Meenakumari,"Devi Sri Prasad, Malathi",Mallanna (Original Motion Picture Soundtrack),tollywood,48
Entha Chitram Kada,"Sai Karthik, Sameera Bharadwaj, Rahman",Dwaraka,tollywood,38
Manasa Nuvvu Vinava,"Priyesh Mothukuri, Raazi",Manasa Nuvvu Vinava,Unknown,38
Vachindamma,Sid Sriram,Geetha Govindam,filmi,53
Kallajodu Collage Papa - Telugu Folk Song,Kondu Sagar Exclusive,Kallajodu Collage Papa (Telugu Folk Song),telugu remix,46
Bombhaat,"Rahul Sipligunj, Ramya Behara",LIE,tollywood,57
Bullettu Bandi,Mohana Bhogaraju,Bullettu Bandi,"telugu indie, tollywood",53
Chatal Band,"Dj Sai Ganesh, SBS Musicals",Chatal Band,telugu remix,44
Hey Naayak,"Shreya Ghoshal, Naveen Madhav",Naayak,"filmi, modern bollywood",49
Vaa Vaathi,"G. V. Prakash, Shweta Mohan",Vaathi,"kollywood, tamil pop",63
Vayyarala,Karunya,Teenmaar,"telugu indie, tollywood",51
Kanule Kanele,Anirudh Ravichander,David,"desi hip hop, filmi, tamil hip hop",45
Pimple Dimple,"Sagar, Ranina Reddy",Yevadu,tollywood,50
Neeve,Yazin Nizar,Neeve,tollywood,54
You Are My Light,赵露思,You Are My Light,chinese drama ost,53
Lachimi Na Chinni Lachimi,Shankar Babu,Telugu Folk Dj Songs Vol 2,telugu folk,48
Taal Se Taal - Western Version,Sukhwinder Singh,Taal (Original Motion Picture Soundtrack),"filmi, modern bollywood",60
Harima Harima,"Hariharan, Sadhana Sargam, Benny Dayal, Naresh Iyer",Robot (Original Motion Picture Soundtrack),"filmi, ghazal",47
Priya Mithunam (Telugu),"Ajay-Atul, Karthik, Shweta Mohan",Adipurush (TELUGU),filmi,62
Ghost Town,Benson Boone,Ghost Town,singer-songwriter pop,66
