Track Name,Artist,Album,Genre,Popularity
Kesariya,"Pritam, Arijit Singh, Amitabh Bhattacharya",Brahmastra (Original Motion Picture Soundtrack),"filmi, indian instrumental, modern bollywood",68
Jiske Aane Se Mukammal,Prashant Katheriya,Dreams Revisited (Short Version),Unknown,0
Naaloney Pongaynu,"Harris Jayaraj, VV Prassanna, Harish Raghavendra, Devan Ekambaram",Surya S/o Krishnan (Original Motion Picture Soundtrack),filmi,59
Banjaara,Mohammed Irfan,Ek Villain,"filmi, modern bollywood",64
Yeme Pilla,Shirisha,Yeme Pilla,telugu folk,11
Shayad,"Pritam, Arijit Singh",Arijit Singh (All Time Hits),"filmi, indian instrumental, modern bollywood",24
Crazy Kiya Re,"Pritam, Sunidhi Chauhan, Sameer Anjaan",Dhoom:2,"filmi, indian instrumental, modern bollywood",57
Ek Din Pyaar,MC STAN,Tadipaar,"desi emo rap, desi hip hop",57
Mehabooba,"Mano, Bhargavi Pillai, Viswa",Santhosham,filmi,30
Urvasi,Abinash Dash,Urvasi,odia pop,45
Rooh,Tej Gill,Rooh,Unknown,55
AB Yevaro Nee Baby,"Nakash Aziz, Arjun Chandy",Agnyaathavaasi,tollywood,47
Ye Mera Jaha,KK,Kushi,"filmi, modern bollywood",47
Kannadi Koodum Kootti - Recreated Version,Sanah Moidutty,Kannadi Koodum Kootti (Recreated Version),"indian indie, mollywood",8
Pattu Pattu,"Manikka Vinayagam, Sumangaly",Shankerdada M B B S,"filmi, indian percussion",45
Sairat Jhala Ji,"Ajay Gogavale, Chinmayi",Sairat (Original Motion Picture Soundtrack),marathi traditional,47
Thukra Ke Mera Pyar,Naim Sabri,Thukra Ke Mera Pyar,Unknown,0
Parinda,"Panther, Priyanka Meher, Nikhil - Swapnil",Flying Towards The City,"desi hip hop, hindi hip hop",50
"Kaise Mujhe (From ""Ghajini"")","Benny Dayal, Shreya Ghoshal",Ar Rahman Musique,"filmi, modern bollywood",28
"Naatu Naatu (From ""Rrr"")","Rahul Sipligunj, Kala Bhairava","Naatu Naatu (From ""Rrr"")",tollywood,0
Bones,Imagine Dragons,Mercury - Acts 1 & 2,"modern rock, pop, rock",81
Na Roja Nuvve,Hesham Abdul Wahab,Kushi (Telugu),mollywood,44
Barbie Girl,"Jaspreet Jasz, Suchitra",Mirchi,tollywood,47
"Photo (From ""Luka Chuppi"")","Karan Sehmbi, Tanishk Bagchi, Goldboy","Photo (From ""Luka Chuppi"")","desi hip hop, desi pop, punjabi pop",58
Levels,"Sidhu Moose Wala, Sunny Malton, The Kidd",Levels,"desi hip hop, pakistani hip hop, punjabi hip hop, punjabi pop",62
Sarkar,Jaura Phagwara,Sarkar,"punjabi hip hop, punjabi pop",61
"Govinda Hari Govinda - From ""Ghibran's Spiritual Series""","Ghibran, Srisha Vijayasekar, Gold Devaraj","Govinda Hari Govinda (From ""Ghibran's Spiritual Series"")","filmi, tamil pop",31
Ekda Ekda Raa,"Byasadeb, Anita",Ekda Ekda Raa-Sambalpuri,sambalpuri pop,35
Obsessed,"Riar Saab, Abhijay Sharma",Obsessed,punjabi pop,67
KILL ALL,"ZODIVK, Kill Dyll",KILL ALL,gym phonk,55
Bhula Dunga,Darshan Raval,Bhula Dunga,"desi pop, filmi, gujarati pop, modern bollywood",54
Choo Lo,The Local Train,Aalas Ka Pedh,"hindi indie, indian indie, indian rock, new delhi indie",72
Nemali Kulukula,"Hariharan, Unnikrishnan, Shweta Mohan, Chinmayi",Rangam,"filmi, ghazal",43
Dil De Diya Hai,Anand Raj Anand,Masti,"filmi, modern bollywood",57
Po Pove Yekantham,Dhanunjay Seepana,Raghuvaran B Tech,tollywood,56
Endhuko Pichi Pichi,Karunya,Chirutha,"telugu indie, tollywood",61
Naa Pranama,"Udit Narayan, K. S. Chithra",Daddy,"chutney, filmi, odia pop",44
Maakkikirkiri,"Rahul Sipligunj, Noel Sean",Maakkikirkiri,tollywood,30
Kaathalae Kaathalae - Version 1,"Govind Vasantha, Chinmayi",96 (Original Motion Picture Soundtrack),"filmi, tamil pop",58
Koi Si,"Afsana Khan, Nirmaan",Koi Si,punjabi pop,57
Arrogant,"AP Dhillon, Shinda Kahlon, Gminxr",Arrogant,"desi hip hop, desi pop, punjabi hip hop, punjabi pop",62
Tera Mera Safar - Slowed & Reverb,Dalip Shekhawat,Tera Mera Safar (Slowed & Reverb),punjabi lo-fi,0
Laagi Lagan Shankara,Hansraj Raghuwanshi,Laagi Lagan Shankara (Hindi),"himachali pop, modern bhajan",0
Haan Tu Hain,"Pritam, KK",Jannat (Original Motion Picture Soundtrack),"filmi, indian instrumental, modern bollywood",66
"Megham Karigena (From ""Thiru"")","Anudeep Dev, Krishna Kanth, Anirudh Ravichander","Megham Karigena (From ""Thiru"")",tollywood,46
Nesthama Nesthama,"Sri Krishna, Harini",Damarukam,tollywood,42
Jiyein Kyun,"Pritam, Papon",Dum Maaro Dum,"filmi, indian instrumental, modern bollywood",66
"Tu Har Lamha (From ""Khamoshiyan"")","Bobby-Imran, Arijit Singh","Tu Har Lamha (From ""Khamoshiyan"")",modern bollywood,58
Merupula,"Rajesh, Shreya Ghoshal",Chintakayala Ravi,sandalwood,42
Afghan Jalebi (Film Version),"Pritam, Akhtar Chinnal",Phantom,"filmi, indian instrumental, modern bollywood",64
"Suno- Na Sangemarmar (From ""Youngistaan)",Arijit Singh,Love Dose Arijit Singh,"filmi, modern bollywood",62
Mor Bela 2.0,"Bijay Anand Sahu, Pratham Kumbhar",Mor Bela 2.0,sambalpuri pop,48
Oorantha,Mangli,Rang De,tollywood,42
Tu pehla pyar hai mera,Lofi Multiverse,Tu pehla pyar hai mera,Unknown,0
Pulsar Bike medha,SaiChand Goud,Pulsar Bike medha,telugu folk,23
Baby,"Justin Bieber, Ludacris",My World 2.0,"canadian pop, pop",81
Kalaavathi,"Thaman S, Sid Sriram",Kalaavathi - Sarkaru Vaari Paata,"new beat, tamil pop",53
Aise Kyun,"Anurag Saikia, Raghav Chaitanya, Raj Shekhar, Nikhita Gandhi",Mismatched: Season 1 (Music from the Netflix Original Series),"desi pop, modern bollywood",59
Young Yama,"M. M. Keeravaani, Shankar Mahadevan, Mano, Pranavi",Yamadonga (Original Motion Picture Soundtrack),vintage tollywood,48
"Takkunu Takkunu - From ""Mr. Local""","Hiphop Tamizha, Anirudh Ravichander","Takkunu Takkunu (From ""Mr. Local"")","desi hip hop, tamil hip hop, tamil pop",64
Dil Kyun Yeh Mera,KK,Kites,"filmi, modern bollywood",59
Without Me,Halsey,Manic,"electropop, etherpop, indie poptimism, pop",77
"Rishte Naate - From ""De Dana Dan""","Rahat Fateh Ali Khan, Suzanne D'Mello",Tera Mera Saath Ho,"classic pakistani pop, filmi, modern bollywood, qawwali, sufi",59
Closer,"The Chainsmokers, Halsey",Closer,pop,84
Bikhra,"Abdul Hannan, Rovalio",Bikhra,"pakistani indie, pakistani pop, urdu hip hop",66
Ludu Budu,Pankaj Kalet,Ludu Budu,Unknown,14
"Dhulia Janda - From ""Malyagiri""","Aseema Panda, Kuldeep Pattanaik, Bunty R Samal, Nirmal Nayak, Gaurav Anand","Dhulia Janda (From ""Malyagiri"")",odia pop,43
Pasoori x Calm Down - Urban Desi Mix,Nick Dhillon,Pasoori x Calm Down (Urban Desi Mix),bhangra,0
Mamatala Talli,Surya Yamini,Baahubali - The Beginning,Unknown,0
Tera Chehra,Adnan Sami,Tera Chehra,"classic pakistani pop, filmi, modern bollywood",61
"Tune Maari Entriyaan (From ""Gunday"")","Sohail Sen, Vishal Dadlani, KK, Irshad Kamil",YRF Top 10 - Nightout Sounds,"filmi, modern bollywood",32
Sounds Of Wet Girls ASMR,"Sexy Girl Licking ASMR, Licking ASMR, ASMR Licking Sounds For Sleep",Licking ASMR Sleep Sounds,asmr,0
Deewana Hai Dekho,"Sandesh Shandilya, Alka Yagnik, Sonu Nigam, Kareena Kapoor",Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),"afghan pop, filmi, modern bollywood",56
So High,Sidhu Moose Wala,So High,"desi hip hop, pakistani hip hop, punjabi hip hop, punjabi pop",0
Do You Know,Diljit Dosanjh,Do You Know,"filmi, modern bollywood, punjabi pop",60
In The Stars,Benson Boone,In The Stars,singer-songwriter pop,75
Mera Mann Kehne Laga,Falak Shabbir,Nautanki Saala !,"classic pakistani pop, pakistani pop, sufi",53
Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe),"art pop, norwegian pop",75
"Vaana Vaana - From ""Racha"", Remix","Chaitra, Rahul Nambiar, Mani Sharma, Bappi Lahiri","Vaana Vaana (From ""Racha"", Remix)",tollywood,34
Rasia,"Mantu Chhuria, Aseema Panda",Rasia,"odia pop, sambalpuri pop",42
Ride It,Jay Sean,My Own Way,"dance pop, pop, pop rap, post-teen pop",65
Skechers,DripReport,Skechers,viral rap,63
"Hallaa Machaare (From ""King of Kotha (Telugu)"")","Jakes Bejoy, L. V. Revanth, Sindhuja Srinivasan","Hallaa Machaare [From ""King of Kotha (Telugu)""]",mollywood,21
Super Machi,"Devi Sri Prasad, Sravana Bhargavi, Magizhini Manimaran",Son Of Satyamurthy,tollywood,52
Radhe Radhe Shyam,Krishna Das,Heart Full of Soul,"hare krishna, healing, kirtan",29
Ari Ari,"Ritviz, Nucleya",Baaraat,"desi hip hop, desi pop, hindi indie, indian edm, indian indie",40
Ride It (Original Version),Jay Sean,My Own Way,"dance pop, pop, pop rap, post-teen pop",0
Tu Hai Ki Nahi,Ankit Tiwari,Roy,"filmi, modern bollywood",67
abcdefu,GAYLE,abcdefu,"alt z, modern alternative pop",72
Adigaa,Karthik,Hi Nanna,filmi,59
Nagin Dance,Anmol Malik,Bajatey Raho (Original Motion Picture Soundtrack),telugu remix,44
Yaa Yaa,"Abhay Jodhpurkar, K. S. Chithra, Anjana Sowmya",Aa Aaa,modern bollywood,34
Edo Oka Raagam Female,K. S. Chithra,Raja,filmi,24
Mounamgane,K. S. Chithra,Naa Autograph,filmi,35
Come To The Party,Vijay Prakash,Son Of Satyamurthy,filmi,44
Mirchi,"DIVINE, MC Altaf, Stylo G, Phenom",Mirchi,"desi hip hop, desi trap, hindi hip hop",51
Mitwaa,"Shankar Mahadevan, Jaanvee Prabhu Arora",Mitwaa (Original Motion Picture Soundtrack),filmi,55
Lag Ja Gale Se Phir,Lata Mangeshkar,Woh Kaun Thi,"classic bollywood, filmi, lata",57
Tod Da E Dil,Ammy Virk,Tod Da E Dil,punjabi pop,58
Butterfly,Jass Manak,No Competition,"desi hip hop, desi pop, punjabi pop",29
Thodi Der,"Farhan Saeed, Shreya Ghoshal, Kumaar",Half Girlfriend (Original Motion Picture Soundtrack),"classic pakistani pop, pakistani pop, sufi",59
Bharat Ka Bachha Jai Shri Ram Bolega,DJ NeSH,Bharat Ka Bachha Jai Shri Ram Bolega,"koligeet, marathi remix",0
Botany,"S. P. Balasubrahmanyam, S. P. Sailaja",Shiva,filmi,44
Afghan Jalebi (Ya Baba),"Pritam, Asrar, Akhtar Chinnal",Phantom,"filmi, indian instrumental, modern bollywood",44
Lakshmi Ashtothram,M. S. Subbulakshmi,"M S Subbulakshmi Radio Recitals,Vol. 4","carnatic, carnatic vocal, indian classical",33
Nammaku Nammaku,Vandemataram Srinivas,Cheppave Chirugalee,vintage tollywood,34
Starboy - Sped Up,fam0uz,Starboy (Sped Up),sped up,1
Manduloda Ori Mayaloda,"Veddepally Srinivas, Lalitha Sagari",Manduloda Ori Mayaloda,telugu folk,3
Porn Sounds,"Eastern Zen, Blissful Love Lounge",Passion and Desired Followed by a Night of Ecstasy,zen,0
Pella Emo White Daani Jin Pentu Tite,Simanchalam Patra,Pella Emo White Daani Jin Pentu Tite,Unknown,1
Muthyaalu Vasthaava,"S. P. Balasubrahmanyam, P. Susheela",Manushulantha Okkate,filmi,6
Alo Mo Ribana Fita,"Ruku Suna, Aseema Panda",Alo Mo Ribana Fita,sambalpuri pop,32
Raa Chilaka,G. V. Prakash,Ongolu Gittha,"kollywood, tamil pop",41
Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,Wish You Were Here,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",63
Anjali Anjali,"A.R. Rahman, S. P. Balasubrahmanyam, K. S. Chithra",Duet (Original Motion Picture Soundtrack),filmi,42
Hyderabadi Marfa,Dj Nikhil Martyn,Hyderabadi Marfa,telugu remix,28
"Say ""Shava Shava""","Aadesh Shrivastava, Sudesh Bhosle, Alka Yagnik, Sunidhi Chauhan, Amitabh Bachchan, Udit Narayan",Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),"classic bollywood, filmi, modern bollywood",53
Rocky Walks Up the Stairs,Ravi Basrur,"KGF, Vol. 2 (Original Background Score)",sandalwood,52
Saadda Haq,Mohit Chauhan,Rockstar,"filmi, modern bollywood",56
Nanna Nanna Ne Manasentho,Gaddam Santhosh,Rasamayi Janapadam (Vol 3),Unknown,4
Old Town Road,Lil Nas X,7 EP,lgbtq+ hip hop,71
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",Mercury - Acts 1 & 2,"modern rock, pop, rock",79
"Naseeb Se (From ""Satyaprem Ki Katha"")","Payal Dev, Vishal Mishra, A.M. Turaz","Naseeb Se (From ""Satyaprem Ki Katha"")","desi pop, filmi, modern bollywood",63
Arjan Vailly,"Manan Bhardwaj, Bhupinder Babbal",ANIMAL,"desi pop, modern bollywood",61
"Kannamma - From ""Ispade Rajavum Idhaya Raniyum""","Sam C.S., Anirudh Ravichander","Kannamma (From ""Ispade Rajavum Idhaya Raniyum"")","filmi, tamil pop",66
Dheere Dheere,Yo Yo Honey Singh,Dheere Dheere,"filmi, hindi hip hop, modern bollywood",70
Dil Mein Baji Guitar,"Mika Singh, Pritam",Apna Sapna Money Money (Original Motion Picture Soundtrack),"filmi, modern bollywood",53
Nenante Naaku,Adnan Sami,Oosaravelli,"classic pakistani pop, filmi, modern bollywood",52
Bommanu Geesthey,"Jeans Srinivas, Gopika Poornima",Bommarillu,Unknown,60
Chinnaga Chinnaga,"Hariharan, K. S. Chithra",Tagore,"filmi, ghazal",49
Raanjhanaa,"A.R. Rahman, Jaswinder Singh, Shiraz Uppal",Raanjhanaa (Original Motion Picture Soundtrack),filmi,67
Calm Down (with Selena Gomez),"Rema, Selena Gomez",Calm Down (with Selena Gomez),"afrobeats, nigerian pop",79
Puvvalle Melukunnadi,Bheems Ceciroleo,FCUK (Original Motion Picture Soundtrack),tollywood,12
Sakkarakatti,Hiphop Tamizha,Meesaya Murukku (Original Motion Picture Soundtrack),"desi hip hop, tamil hip hop, tamil pop",63
Thunder,Imagine Dragons,Evolve,"modern rock, pop, rock",84
Tera Woh Pyar (Nawazishein Karam),"Momina Mustehsan, Asim Azhar",Coke Studio: Season 9,"classic pakistani pop, pakistani pop, sufi",56
love nwantiti (ah ah ah),CKay,CKay The First,"afro r&b, afrobeats",74
"Kabhi Jo Baadal Barse (From ""Jackpot)",Arijit Singh,Love Dose Arijit Singh,"filmi, modern bollywood",62
Oh Kyu Ni Jaan Ske,Ninja,Oh Kyu Ni Jaan Ske,punjabi pop,55
Un Paarvayil,"Anirudh Ravichander, Vivek Siva",Ethir Neechal (Original Motion Picture Soundtrack),"desi hip hop, filmi, tamil hip hop",51
"Adel Tudel (From ""Unstoppable - Unlimited Fun"")",Bheems Ceciroleo,"Adel Tudel (From ""Unstoppable - Unlimited Fun"")",tollywood,1
Radhe Govinda,"Udit Narayan, K. S. Chithra",Indra,"chutney, filmi, odia pop",52
Toh Phir Aao,Mustafa Zahid,Awarapan (Original Soundtrack),"filmi, modern bollywood, pakistani pop",64
Memories,Maroon 5,JORDI (Deluxe),pop,82
Demons,Imagine Dragons,Night Visions,"modern rock, pop, rock",83
Teri Choodiyon Ki,"Ragasur, BCS",Teri Choodiyon Ki,Unknown,40
You're My Love,"Shaan, Shweta Pandit, Suzi Q, Earl D'Souza",Partner,"filmi, modern bollywood",63
Ittage Recchipodham,"Geetha Madhuri, Dhanunjay Seepana, Anudeep Dev, Arun Kaundinya",Temper,tollywood,49
Kshanam Kshanam,Shweta Pandit,Panjaa,"filmi, modern bollywood",37
"Tum Hi Aana (Sad Version) [From ""Marjaavaan""]","Payal Dev, Jubin Nautiyal, Kunaal Vermaa","Tum Hi Aana (Sad Version) [From ""Marjaavaan""]","desi pop, filmi, modern bollywood",53
Kurchi Madathapetti,"Thaman S, Sri Krishna, Sahithi Chaganti, Mahesh Babu, Saraswati Putra Ramajogayya Sastry",Guntur Kaaram,"new beat, tamil pop",57
Naatho Vasthavaa,"Udit Narayan, Sumangaly",Mass,"chutney, filmi, odia pop",50
Badnam ( Orignal Version ),"Mankirt Aulakh, DJ Flow",Badnam (original Version),punjabi pop,58
Maari Thara Local - Here Comes Maari,"Anirudh Ravichander, Dhanush",Maari (Original Motion Picture Soundtrack),"desi hip hop, filmi, tamil hip hop",59
Endikondalu Yeletoda,Mangli,"Magic of Mangli, Vol. 1",tollywood,0
Iraga Iraga,"Rahul Sipligunj, Mohana Bhogaraju",Naa Peru Surya Naa Illu India,tollywood,50
"Naa Peru Seesa (From ""Ramarao On Duty"")","Shreya Ghoshal, Sam C.S.","Naa Peru Seesa (From ""Ramarao On Duty"")","filmi, modern bollywood",0
Jennifer Lopez,"Benny Dayal, Priya",Jalsa,"filmi, modern bollywood",53
Mercy,Shawn Mendes,Illuminate (Deluxe),"canadian pop, pop, viral pop",78
Megham Karukatha,"Dhanush, Anirudh Ravichander",Thiruchitrambalam (Original Motion Picture Soundtrack),"filmi, kollywood",55
Sweety,"Siddharth Mahadevan, Rabbit M C",Race Gurram,modern bollywood,0
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Hollywood's Bleeding,"dfw rap, melodic rap, pop, rap",82
#1,Imagine Dragons,Mercury - Acts 1 & 2,"modern rock, pop, rock",54
Tere Liye,"Atif Aslam, Shreya Ghoshal",Best of Romance: Atif Aslam & Pritam,"classic pakistani pop, filmi, modern bollywood, sufi",60
"Hawayein (From ""Jab Harry Met Sejal"")","Pritam, Arijit Singh",Arijit Singh (All Time Hits),"filmi, indian instrumental, modern bollywood",24
Main Rang Sharbaton Ka (Lofi Mix),"Pritam, Atif Aslam, Chinmayi",Main Rang Sharbaton Ka (Lofi Mix),"filmi, indian instrumental, modern bollywood",60
Safari,Serena,Safari,Unknown,57
Kolu Kolu - Love Version,Nutana Mohan,Virataparvam,tollywood,0
Babu Rambabu,"Sunidhi Chowhan, Bheems, Narendra, Sharan",Kevvu Keka,Unknown,44
Diri Diri,"KK, Usha",Santhosham,"filmi, modern bollywood",29
Falling,Trevor Daniel,Falling,melodic rap,67
What The Life,Vijay Deverakonda,Geetha Govindam,Unknown,40
Anukoneledhuga,"Bellie Raj, Priya Hemesh",Panjaa,Unknown,34
Band Darvaze,"Amrinder Gill, Dr Zeus",Judaa 3 Chapter 1,punjabi pop,52
"Banjaara (From ""Ek Villain"")",Mohammed Irfan,Best Of Shraddha Kapoor,"filmi, modern bollywood",65
Ek Tarfa - Reprise,Darshan Raval,Ek Tarfa - Reprise,"desi pop, filmi, gujarati pop, modern bollywood",54
Endhuko,"Sonu Nigam, Mahalakshmi Iyer",Chintakayala Ravi,"filmi, modern bollywood",35
Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),"pop, uk pop",81
"Enna Sona (From ""OK Jaanu"")","A.R. Rahman, Arijit Singh",Arijit Singh (All Time Hits),filmi,23
Hud Hud Dabangg,"Sukhwinder Singh, Wajid",Dabangg,"filmi, modern bollywood",42
Haiwaan,Ashim Kemson,ANIMAL,Unknown,50
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")","Pritam, Arijit Singh",Arijit Singh (All Time Hits),"filmi, indian instrumental, modern bollywood",30
Kabira (Encore),"Pritam, Harshdeep Kaur, Arijit Singh",Yeh Jawaani Hai Deewani,"filmi, indian instrumental, modern bollywood",61
Stitches,Shawn Mendes,Handwritten,"canadian pop, pop, viral pop",27
Kirraaku,"Narendra Doddapaneni, David Simon",Attarrintiki Daaredi,Unknown,44
Cradles,Sub Urban,Cradles,modern indie pop,72
Nuvvante Naaku,Anup Rubens,Heart Attack,tollywood,0
Main Suneya,"Ammy Virk, Sunny Vik, Raj Fatehpur",Main Suneya,punjabi pop,57
Baarish Ban Jaana,"Payal Dev, Stebin Ben, Kunaal Vermaa",Monsoon Romance With Payal Dev,"desi pop, filmi, modern bollywood",58
Thellarindoi,Devi Sri Prasad,Shankerdada M B B S,tollywood,33
Ye Jilla,"Adnan Sami, Kalpana",Shankerdada M B B S,"classic pakistani pop, filmi, modern bollywood",46
Ghagra,"Pritam, Rekha Bhardwaj, Vishal Dadlani",Yeh Jawaani Hai Deewani,"filmi, indian instrumental, modern bollywood",62
"Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")",Palak Muchhal,2016 Shining Star - Palak Muchhal,"filmi, modern bollywood",54
52 Gaj Ka Daman,"Renuka Panwar, MJ",52 Gaj Ka Daman,haryanvi pop,58
Waalian,"Harnoor, Gifty",Waalian,punjabi pop,67
God's Plan,Drake,Scorpion,"canadian hip hop, canadian pop, hip hop, pop rap, rap",81
"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Raghav, Tanishk Bagchi, Asees Kaur","Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")","desi pop, hindi indie",69
Jaane Kyu Main,Prashant Katheriya,Forgotten Journey,Unknown,0
Baarish Lete Aana,Darshan Raval,Baarish Lete Aana,"desi pop, filmi, gujarati pop, modern bollywood",59
Wrecked,Imagine Dragons,Mercury - Acts 1 & 2,"modern rock, pop, rock",68
Kushi Title Song,Hesham Abdul Wahab,Kushi (Telugu),mollywood,36
Chan Vekhya,"Harnoor, Gifty",Chan Vekhya,punjabi pop,56
Saree Ke Fall Sa,"Nakash Aziz, Antara Mitra, Pritam",R...Rajkumar (Original Motion Picture Soundtrack),tollywood,60
Brindavanam,Mangli,Rowdy Boys,tollywood,44
Monday,Imagine Dragons,Mercury - Acts 1 & 2,"modern rock, pop, rock",53
Hai Rabba,"Udit Narayan, Kavita Krishnamurthy",Jeans,"chutney, filmi, odia pop",26
"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")",KK,Evergreen Hits Of K.K.,"filmi, modern bollywood",67
Do Gallan - Let's Talk,"Garry Sandhu, Rahul Sathu",Do Gallan (Let's Talk),punjabi pop,61
Tareyaan De Des,Prabh Gill,Tareyaan De Des,punjabi pop,47
Kali Kali Zulfon Ke (Lo-Fi),Madhur Sharma,Kali Kali Zulfon Ke (Lo-Fi),desi pop,0
Edho Edho,"Pradeep Vijay, Kalyani Nair",Ishq,Unknown,38
Tum Chhupa Na Sakogi,Prashant Katheriya,Devine Nostalgia (Unplugged),Unknown,0
Humnava Mere,"Jubin Nautiyal, Rocky - Shiv",Humnava Mere,"filmi, hare krishna, modern bollywood",71
Bavalla Na Bavalla,Shirisha,Bavalla Na Bavalla,telugu folk,11
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",7 EP,lgbtq+ hip hop,72
Kariga Loga - D-Plugged,"Devi Sri Prasad, Sagar",Aarya - 2 (Original Motion Picture Soundtrack),tollywood,45
Darshana,"Chaitan Bharadwaj, Anurag Kulkarni",Vinaro Bhagyamu Vishnu Katha,tollywood,59
Ambarsariya,Sona Mohapatra,Fukrey,"filmi, modern bollywood",65
Junoon,Mitraz,Junoon,desi pop,62
Naa Manasuney,"S. P. Balasubrahmanyam, K. S. Chithra",Manmadhudu,filmi,47
Love Me Like You Do,Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack),"indietronica, metropopolis, pop, uk pop",73
Tera Ghata,Gajendra Verma,Tera Ghata,"desi pop, filmi, modern bollywood",62
Allahe Allaha,Katike Ramu,Allahe Allaha,telugu folk,0
Jo Tu Na Mila - Acoustic,Asim Azhar,Jo Tu Na Mila (Acoustic),"classic pakistani pop, desi pop, pakistani pop, sufi",50
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",The Papercut Chronicles II,"dance pop, pop rap",81
Lehanga,Jass Manak,Lehanga,"desi hip hop, desi pop, punjabi pop",44
"Nira - From ""Takkar""","Sid Sriram, Gautham Vasudev Menon, Malvi Sundaresan, Nivas K Prasanna","Nira (From ""Takkar"")",filmi,64
Kaavaalaa,"Anirudh Ravichander, Shilpa Rao, Arunraja Kamaraj",Jailer (Original Motion Picture Soundtrack),"desi hip hop, filmi, tamil hip hop",56
Aam Jahe Munde,"Parmish Verma, PARDHAAN, Desi Crew",Aam Jahe Munde,punjabi pop,71
i'm yours,Isabel LaRosa,i'm yours,"hyperpop, sped up",81
Bahut Pyar Karte Hai - Recreated Version,Siddharth Slathia,Bahut Pyar Karte Hai (Recreated Version),"desi pop, modern bollywood",52
Karuppu Vellai,"Sivam, Sam C.S.",Vikram Vedha (Original Motion Picture Soundtrack),Unknown,54
Jab Koi Baat - Recreated,"Atif Aslam, Shirley Setia, Dj Chetas",Jab Koi Baat - Recreated,"classic pakistani pop, filmi, modern bollywood, sufi",63
As It Was,Harry Styles,Harry's House,pop,87
BRO Slokam,Thaman S,BRO,"new beat, tamil pop",0
Kadhaippoma Reprise - Background Score,Leon James,Oh My Kadavule (Original Background Score + Additional Songs),tamil pop,40
Miss You,Baloo Spicy,Miss You,Unknown,29
Telusa,"Cherri, Revathi",Devadasu,Unknown,28
"Illegal Weapon 2.0 (From ""Street Dancer 3D"")","Jasmine Sandlas, Garry Sandhu, Tanishk Bagchi, Intense","Illegal Weapon 2.0 (From ""Street Dancer 3D"")","desi pop, punjabi pop",66
Not Ramaiya Vastavaiya,"Anirudh Ravichander, Vishal Dadlani, Shilpa Rao, Kumaar",Jawan,"desi hip hop, filmi, tamil hip hop",55
Tu Megha Heija,"Humane Sagar, Aseema Panda",Tu Megha Heija,odia pop,41
Daaru Desi,"Benny Dayal, Shalmali Kholgade, Pritam",Cocktail (Original Motion Picture Soundtrack),"filmi, modern bollywood",61
Chupana Bhi Nahi Aata - Recreated Version,Stebin Ben,Chupana Bhi Nahi Aata (Recreated Version),"desi pop, filmi, modern bollywood",52
Idhazhin Oram - The Innocence of Love,"Anirudh Ravichander, Ajesh",3 (Original Motion Picture Soundtrack),"desi hip hop, filmi, tamil hip hop",66
Bam Bam Bhole,Mangli,Bam Bam Bhole,tollywood,25
Chittiyaan Kalaiyaan,"Meet Bros Anjjan, Kanika Kapoor",Roy,"filmi, modern bollywood",64
Wajah Tum Ho,Armaan Malik,Bollywood Romantic Songs With Armaan Malik,"filmi, modern bollywood",56
"Jaanavule (From ""BRO"")","Thaman S, K. Pranati","Jaanavule (From ""BRO"")","new beat, tamil pop",0
"Enna Solla (From ""Thangamagan"") - The New Life of Tamizh","Anirudh Ravichander, Shweta Mohan",Young Mavericks (Anirudh & Santhosh Narayanan),"desi hip hop, filmi, tamil hip hop",46
Maate Manthramu,"S. P. Balasubrahmanyam, S. P. Sailaja",Seethakoka Chilaka,filmi,0
Chidiya,Vilen,Chidiya,desi pop,0
Amplifier,Imran Khan,Amplifier,"desi hip hop, desi pop, desi trap, pakistani hip hop",8
Maana Ke Hum Yaar Nahin,"Sachin-Jigar, Parineeti Chopra, Kausar Munir",Meri Pyaari Bindu,"filmi, gujarati pop, modern bollywood",61
Shivaratri Song 2021,Mangli,Shivaratri Song 2021,tollywood,36
Make It (feat. The Weeknd) [DJAmg Remixer],"AtariJones, The Weeknd",Early Catch,chill baile,40
Yellipoke Shyamala,Karthik,Aa Aaa,filmi,51
Yaari,"Nikk, Avneet Kaur",Yaari,"desi pop, punjabi pop",60
